timestamp,route_name,distance_km,duration_minutes,traffic_delay_minutes,status,route_id,origin,destination,hour,day_of_week,is_weekend,temperature,humidity,weather_condition,rain_1h,wind_speed
2026-06-17 01:52:37,ORR,14.56,27.6,0.0,success,1,Marathahalli,Silk Board,1,Wednesday,0,23.7,79,Clouds,0,2.6
2026-06-17 01:52:37,Whitefield-Koramangala,16.93,32.2,0.0,success,2,Whitefield,Koramangala,1,Wednesday,0,23.7,79,Clouds,0,2.6
2026-06-17 01:52:37,BTM-ECity,12.37,16.4,0.0,success,3,BTM Layout,Electronic City,1,Wednesday,0,23.7,79,Clouds,0,2.6
2026-06-17 01:52:37,Hebbal-Bellandur,22.14,47.1,0.0,success,4,Hebbal,Bellandur,1,Wednesday,0,23.7,79,Clouds,0,2.6
2026-06-17 01:52:37,Airport-MG Road,34.98,43.4,0.0,success,5,Kempegowda Airport,MG Road,1,Wednesday,0,23.7,79,Clouds,0,2.6
2026-06-17 01:52:37,Indiranagar-Brigade,4.26,12.6,0.0,success,6,Indiranagar,Brigade Road,1,Wednesday,0,23.7,79,Clouds,0,2.6
2026-06-17 01:52:37,Yeshwanthpur-Jayanagar,19.19,33.7,0.0,success,7,Yeshwanthpur,Jayanagar,1,Wednesday,0,23.7,79,Clouds,0,2.6
2026-06-17 03:56:54,ORR,14.56,27.7,0.0,success,1,Marathahalli,Silk Board,3,Wednesday,0,22.6,82,Clouds,0,2.7
2026-06-17 03:56:54,Whitefield-Koramangala,16.93,32.6,0.0,success,2,Whitefield,Koramangala,3,Wednesday,0,22.6,82,Clouds,0,2.7
2026-06-17 03:56:54,BTM-ECity,12.37,16.4,0.0,success,3,BTM Layout,Electronic City,3,Wednesday,0,22.6,82,Clouds,0,2.7
2026-06-17 03:56:54,Hebbal-Bellandur,26.55,45.2,0.0,success,4,Hebbal,Bellandur,3,Wednesday,0,22.6,82,Clouds,0,2.7
2026-06-17 03:56:54,Airport-MG Road,34.98,43.6,0.0,success,5,Kempegowda Airport,MG Road,3,Wednesday,0,22.6,82,Clouds,0,2.7
2026-06-17 03:56:54,Indiranagar-Brigade,4.26,12.7,0.0,success,6,Indiranagar,Brigade Road,3,Wednesday,0,22.6,82,Clouds,0,2.7
2026-06-17 03:56:54,Yeshwanthpur-Jayanagar,19.19,34.0,0.0,success,7,Yeshwanthpur,Jayanagar,3,Wednesday,0,22.6,82,Clouds,0,2.7
2026-06-17 05:23:41,ORR,14.56,27.1,0.0,success,1,Marathahalli,Silk Board,5,Wednesday,0,22.0,85,Clouds,0,3.1
2026-06-17 05:23:41,Whitefield-Koramangala,16.93,32.9,0.0,success,2,Whitefield,Koramangala,5,Wednesday,0,22.0,85,Clouds,0,3.1
2026-06-17 05:23:41,BTM-ECity,12.37,16.5,0.0,success,3,BTM Layout,Electronic City,5,Wednesday,0,22.0,85,Clouds,0,3.1
2026-06-17 05:23:41,Hebbal-Bellandur,26.55,44.8,0.0,success,4,Hebbal,Bellandur,5,Wednesday,0,22.0,85,Clouds,0,3.1
2026-06-17 05:23:41,Airport-MG Road,34.98,44.0,0.0,success,5,Kempegowda Airport,MG Road,5,Wednesday,0,22.0,85,Clouds,0,3.1
2026-06-17 05:23:41,Indiranagar-Brigade,4.26,12.8,0.0,success,6,Indiranagar,Brigade Road,5,Wednesday,0,22.0,85,Clouds,0,3.1
2026-06-17 05:23:41,Yeshwanthpur-Jayanagar,19.19,34.3,0.0,success,7,Yeshwanthpur,Jayanagar,5,Wednesday,0,22.0,85,Clouds,0,3.1
2026-06-17 10:51:45,ORR,14.65,49.6,8.6,success,1,Marathahalli,Silk Board,10,Wednesday,0,28.2,67,Clouds,0,0.9
2026-06-17 10:51:45,Whitefield-Koramangala,16.93,65.7,10.8,success,2,Whitefield,Koramangala,10,Wednesday,0,28.2,67,Clouds,0,0.9
2026-06-17 10:51:45,BTM-ECity,12.48,22.3,0.3,success,3,BTM Layout,Electronic City,10,Wednesday,0,28.2,67,Clouds,0,0.9
2026-06-17 10:51:45,Hebbal-Bellandur,23.3,78.3,7.6,success,4,Hebbal,Bellandur,10,Wednesday,0,28.2,67,Clouds,0,0.9
2026-06-17 10:51:45,Airport-MG Road,34.99,64.8,3.9,success,5,Kempegowda Airport,MG Road,10,Wednesday,0,28.2,67,Clouds,0,0.9
2026-06-17 10:51:45,Indiranagar-Brigade,4.26,20.3,2.3,success,6,Indiranagar,Brigade Road,10,Wednesday,0,28.2,67,Clouds,0,0.9
2026-06-17 10:51:45,Yeshwanthpur-Jayanagar,19.0,45.5,0.0,success,7,Yeshwanthpur,Jayanagar,10,Wednesday,0,28.2,67,Clouds,0,0.9
