timestamp,route_name,distance_km,duration_minutes,traffic_delay_minutes,status,route_id,origin,destination,hour,day_of_week,is_weekend,temperature,humidity,weather_condition,rain_1h,wind_speed
2026-06-13 00:56:55,ORR,14.56,30.4,0.0,success,1,Marathahalli,Silk Board,0,Saturday,1,21.8,91,Clouds,0,12.5
2026-06-13 00:56:55,Whitefield-Koramangala,16.93,32.2,0.0,success,2,Whitefield,Koramangala,0,Saturday,1,21.8,91,Clouds,0,12.5
2026-06-13 00:56:55,BTM-ECity,12.37,19.0,2.0,success,3,BTM Layout,Electronic City,0,Saturday,1,21.8,91,Clouds,0,12.5
2026-06-13 00:56:55,Hebbal-Bellandur,26.55,46.0,0.0,success,4,Hebbal,Bellandur,0,Saturday,1,21.8,91,Clouds,0,12.5
2026-06-13 00:56:55,Airport-MG Road,34.98,44.4,0.0,success,5,Kempegowda Airport,MG Road,0,Saturday,1,21.8,91,Clouds,0,12.5
2026-06-13 00:56:55,Indiranagar-Brigade,4.26,12.6,0.0,success,6,Indiranagar,Brigade Road,0,Saturday,1,21.8,91,Clouds,0,12.5
2026-06-13 00:56:55,Yeshwanthpur-Jayanagar,19.19,33.7,0.0,success,7,Yeshwanthpur,Jayanagar,0,Saturday,1,21.8,91,Clouds,0,12.5
2026-06-13 02:41:23,ORR,14.56,27.9,0.0,success,1,Marathahalli,Silk Board,2,Saturday,1,21.2,92,Clouds,0,11.2
2026-06-13 02:41:23,Whitefield-Koramangala,16.93,32.2,0.0,success,2,Whitefield,Koramangala,2,Saturday,1,21.2,92,Clouds,0,11.2
2026-06-13 02:41:23,BTM-ECity,12.37,17.9,0.0,success,3,BTM Layout,Electronic City,2,Saturday,1,21.2,92,Clouds,0,11.2
2026-06-13 02:41:23,Hebbal-Bellandur,26.55,46.7,1.9,success,4,Hebbal,Bellandur,2,Saturday,1,21.2,92,Clouds,0,11.2
2026-06-13 02:41:23,Airport-MG Road,34.98,43.5,0.0,success,5,Kempegowda Airport,MG Road,2,Saturday,1,21.2,92,Clouds,0,11.2
2026-06-13 02:41:23,Indiranagar-Brigade,4.26,12.6,0.0,success,6,Indiranagar,Brigade Road,2,Saturday,1,21.2,92,Clouds,0,11.2
2026-06-13 02:41:23,Yeshwanthpur-Jayanagar,19.19,33.7,0.0,success,7,Yeshwanthpur,Jayanagar,2,Saturday,1,21.2,92,Clouds,0,11.2
2026-06-13 04:22:38,ORR,14.56,27.3,0.0,success,1,Marathahalli,Silk Board,4,Saturday,1,21.2,93,Clouds,0,10.7
2026-06-13 04:22:38,Whitefield-Koramangala,16.93,32.6,0.0,success,2,Whitefield,Koramangala,4,Saturday,1,21.2,93,Clouds,0,10.7
2026-06-13 04:22:38,BTM-ECity,12.37,16.4,0.0,success,3,BTM Layout,Electronic City,4,Saturday,1,21.2,93,Clouds,0,10.7
2026-06-13 04:22:38,Hebbal-Bellandur,26.55,45.1,0.0,success,4,Hebbal,Bellandur,4,Saturday,1,21.2,93,Clouds,0,10.7
2026-06-13 04:22:38,Airport-MG Road,34.98,43.8,0.0,success,5,Kempegowda Airport,MG Road,4,Saturday,1,21.2,93,Clouds,0,10.7
2026-06-13 04:22:38,Indiranagar-Brigade,4.26,12.7,0.0,success,6,Indiranagar,Brigade Road,4,Saturday,1,21.2,93,Clouds,0,10.7
2026-06-13 04:22:38,Yeshwanthpur-Jayanagar,19.19,34.1,0.0,success,7,Yeshwanthpur,Jayanagar,4,Saturday,1,21.2,93,Clouds,0,10.7
2026-06-13 07:06:16,ORR,14.56,27.2,0.0,success,1,Marathahalli,Silk Board,7,Saturday,1,21.4,93,Clouds,0,8.9
2026-06-13 07:06:16,Whitefield-Koramangala,16.93,34.4,0.0,success,2,Whitefield,Koramangala,7,Saturday,1,21.4,93,Clouds,0,8.9
2026-06-13 07:06:16,BTM-ECity,12.37,16.6,0.0,success,3,BTM Layout,Electronic City,7,Saturday,1,21.4,93,Clouds,0,8.9
2026-06-13 07:06:16,Hebbal-Bellandur,26.55,45.1,0.0,success,4,Hebbal,Bellandur,7,Saturday,1,21.4,93,Clouds,0,8.9
2026-06-13 07:06:16,Airport-MG Road,34.98,46.0,0.0,success,5,Kempegowda Airport,MG Road,7,Saturday,1,21.4,93,Clouds,0,8.9
2026-06-13 07:06:16,Indiranagar-Brigade,4.26,13.5,0.0,success,6,Indiranagar,Brigade Road,7,Saturday,1,21.4,93,Clouds,0,8.9
2026-06-13 07:06:16,Yeshwanthpur-Jayanagar,19.19,36.9,0.0,success,7,Yeshwanthpur,Jayanagar,7,Saturday,1,21.4,93,Clouds,0,8.9
