timestamp,route_name,distance_km,duration_minutes,traffic_delay_minutes,status,route_id,origin,destination,hour,day_of_week,is_weekend,temperature,humidity,weather_condition,rain_1h,wind_speed
2026-08-31 01:25:01,ORR,14.56,26.7,0.0,success,1,Marathahalli,Silk Board,1,Monday,0,20.8,88,Clouds,0,3.6
2026-08-31 01:25:01,Whitefield-Koramangala,16.93,29.3,0.0,success,2,Whitefield,Koramangala,1,Monday,0,20.8,88,Clouds,0,3.6
2026-08-31 01:25:01,BTM-ECity,12.37,15.9,0.0,success,3,BTM Layout,Electronic City,1,Monday,0,20.8,88,Clouds,0,3.6
2026-08-31 01:25:01,Hebbal-Bellandur,23.98,43.2,0.0,success,4,Hebbal,Bellandur,1,Monday,0,20.8,88,Clouds,0,3.6
2026-08-31 01:25:01,Airport-MG Road,34.98,41.4,0.0,success,5,Kempegowda Airport,MG Road,1,Monday,0,20.8,88,Clouds,0,3.6
2026-08-31 01:25:01,Indiranagar-Brigade,4.26,11.4,0.0,success,6,Indiranagar,Brigade Road,1,Monday,0,20.8,88,Clouds,0,3.6
2026-08-31 01:25:01,Yeshwanthpur-Jayanagar,19.19,31.5,0.0,success,7,Yeshwanthpur,Jayanagar,1,Monday,0,20.8,88,Clouds,0,3.6
2026-08-31 04:21:21,ORR,14.56,26.8,0.0,success,1,Marathahalli,Silk Board,4,Monday,0,19.9,92,Clouds,0,5.7
2026-08-31 04:21:21,Whitefield-Koramangala,16.93,27.7,0.0,success,2,Whitefield,Koramangala,4,Monday,0,19.9,92,Clouds,0,5.7
2026-08-31 04:21:21,BTM-ECity,12.37,15.5,0.0,success,3,BTM Layout,Electronic City,4,Monday,0,19.9,92,Clouds,0,5.7
2026-08-31 04:21:21,Hebbal-Bellandur,23.98,41.0,0.0,success,4,Hebbal,Bellandur,4,Monday,0,19.9,92,Clouds,0,5.7
2026-08-31 04:21:21,Airport-MG Road,34.98,40.4,0.0,success,5,Kempegowda Airport,MG Road,4,Monday,0,19.9,92,Clouds,0,5.7
2026-08-31 04:21:21,Indiranagar-Brigade,4.26,10.8,0.0,success,6,Indiranagar,Brigade Road,4,Monday,0,19.9,92,Clouds,0,5.7
2026-08-31 04:21:21,Yeshwanthpur-Jayanagar,19.19,29.9,0.0,success,7,Yeshwanthpur,Jayanagar,4,Monday,0,19.9,92,Clouds,0,5.7
2026-08-31 06:55:12,ORR,14.56,27.1,0.0,success,1,Marathahalli,Silk Board,6,Monday,0,19.9,92,Clouds,0,4.1
2026-08-31 06:55:12,Whitefield-Koramangala,16.93,33.7,0.0,success,2,Whitefield,Koramangala,6,Monday,0,19.9,92,Clouds,0,4.1
2026-08-31 06:55:12,BTM-ECity,12.37,17.3,0.0,success,3,BTM Layout,Electronic City,6,Monday,0,19.9,92,Clouds,0,4.1
2026-08-31 06:55:12,Hebbal-Bellandur,23.98,50.5,0.0,success,4,Hebbal,Bellandur,6,Monday,0,19.9,92,Clouds,0,4.1
2026-08-31 06:55:12,Airport-MG Road,35.34,45.1,0.0,success,5,Kempegowda Airport,MG Road,6,Monday,0,19.9,92,Clouds,0,4.1
2026-08-31 06:55:12,Indiranagar-Brigade,4.26,12.4,0.0,success,6,Indiranagar,Brigade Road,6,Monday,0,19.9,92,Clouds,0,4.1
2026-08-31 06:55:12,Yeshwanthpur-Jayanagar,19.19,34.9,0.0,success,7,Yeshwanthpur,Jayanagar,6,Monday,0,19.9,92,Clouds,0,4.1
